,0
AUDUSD,0.8304827459556767
BRENT,77.55022246474286
BRLUSD,2.9670577998589387
CADUSD,1.1722031539622193
CHFUSD,0.9874471478455411
COFFEE,146.25838979947827
COPPER,3.1275503272438354
DAX,9563.03952760031
DFF,0.895322148848831
DGS10,2.5208852400499735
DGS2,1.185366767802963
DGS30,3.2264019275388183
DGS5,1.8269230769230769
DOWJONES,18388.639827729632
DTWEXBGS,102.70383750446268
ESTR,-0.558707805907173
EURGBP,0.8331758237599943
EUROSTOXX50,3199.6631330527457
EURUSD,1.255155102921111
GBPUSD,1.516749045262906
GOLD,1318.376369647207
IBEX35,9848.019746850181
JPYUSD,103.26858760977396
MXNUSD,15.675069054258566
NASDAQ100,5081.757497257014
NATGAS,3.965246832926061
NIKKEI225,16762.17438998407
SILVER,20.0757992351436
SOFR,1.011479250334672
SONIA,1.0290126539353919
SP500,2103.686674075142
US10Y,2.5119832185539592
US2Y,0.7714086031693013
US30Y,3.226422707158214
US5Y,1.8209837546378576
VIX,20.006429838563918
WTI,71.66957520885423
AUDUSD_logret1,-5.8647422100284056e-05
BRENT_logret1,0.00036776736987213847
BRLUSD_logret1,0.0003137970644689963
CADUSD_logret1,-1.556900440226348e-05
CHFUSD_logret1,-0.00013307979168139812
COFFEE_logret1,7.854941607716237e-05
COPPER_logret1,0.0005687133994706754
DAX_logret1,0.00011583607666870499
DFF_logret1,-0.0003309597284451208
DGS10_logret1,5.3176409612496815e-05
DGS2_logret1,-1.600286376626105e-05
DGS30_logret1,-0.00030173599325506367
DGS5_logret1,2.4835610773024105e-05
DOWJONES_logret1,0.00025156120730280386
DTWEXBGS_logret1,4.257249366154925e-05
ESTR_logret1,0.000351578221045782
EURGBP_logret1,9.502412994124232e-06
EUROSTOXX50_logret1,-7.160721298510298e-05
EURUSD_logret1,-0.00014358897929525212
GBPUSD_logret1,-0.00010635223904113702
GOLD_logret1,0.0003902671138111793
IBEX35_logret1,-0.00010345417037263544
JPYUSD_logret1,0.0001440962911673266
MXNUSD_logret1,-3.568078559507947e-05
NASDAQ100_logret1,0.00038898733961979613
NATGAS_logret1,0.00014945326414637098
NIKKEI225_logret1,-0.00013379414059201615
SILVER_logret1,0.00015095992996304173
SOFR_logret1,0.0008945421693192178
SONIA_logret1,-0.001855053155450896
SP500_logret1,0.0002980416852099241
US10Y_logret1,-0.0001500589945034544
US2Y_logret1,-0.009791214169748553
US30Y_logret1,-0.00026651416372970647
US5Y_logret1,-0.0001392410576241885
VIX_logret1,-0.0030167747654120717
WTI_logret1,0.00039000644262732355
AUDUSD_vol20,0.007063023550771292
BRENT_vol20,0.020849135695411698
BRLUSD_vol20,0.010667944897303964
CADUSD_vol20,0.0052248755467167365
CHFUSD_vol20,0.005786306779012607
COFFEE_vol20,0.019299386585392587
COPPER_vol20,0.015476600975815439
DAX_vol20,0.012354437418844436
DFF_vol20,0.06041292567244842
DGS10_vol20,0.024045168516867388
DGS2_vol20,0.05038817895655779
DGS30_vol20,0.017041988248420053
DGS5_vol20,0.03553382605351357
DOWJONES_vol20,0.009918856999805268
DTWEXBGS_vol20,0.0032724305166756244
ESTR_vol20,0.00594910269887988
EURGBP_vol20,0.0050160393320972975
EUROSTOXX50_vol20,0.01277390164453899
EURUSD_vol20,0.005994850141242638
GBPUSD_vol20,0.0055024983500374805
GOLD_vol20,0.010399367198678929
IBEX35_vol20,0.013417457438049878
JPYUSD_vol20,0.006120000477045267
MXNUSD_vol20,0.0072502443858327055
NASDAQ100_vol20,0.012225923833958496
NATGAS_vol20,0.029873467272241164
NIKKEI225_vol20,0.01330977698218634
SILVER_vol20,0.01881073208363457
SOFR_vol20,0.13268255406818621
SONIA_vol20,0.030255904228116113
SP500_vol20,0.010437671325298136
US10Y_vol20,0.02371520947782149
US2Y_vol20,0.1938685174118683
US30Y_vol20,0.017156326926502898
US5Y_vol20,0.033968008552427514
VIX_vol20,0.0735733496864817
WTI_vol20,0.022513855924405326
AUDUSD_rangepct,0.009851968272359329
BRENT_rangepct,0.026573279207850124
BRLUSD_rangepct,0.015924998737410666
CADUSD_rangepct,0.0075419646751741076
CHFUSD_rangepct,0.007919491150454398
COFFEE_rangepct,0.022634987990115367
COPPER_rangepct,0.015571506471278248
DAX_rangepct,0.01529838538676306
DOWJONES_rangepct,0.012422418617676206
EURGBP_rangepct,0.007272269558312359
EUROSTOXX50_rangepct,0.01600771928375571
EURUSD_rangepct,0.007831037083047956
GBPUSD_rangepct,0.007990197493683576
GOLD_rangepct,0.011068317556245665
IBEX35_rangepct,0.017320761485938033
JPYUSD_rangepct,0.007680943251513306
MXNUSD_rangepct,0.011157563218142909
NASDAQ100_rangepct,0.014529269335012819
NATGAS_rangepct,0.04144259822207914
NIKKEI225_rangepct,0.01282467649101978
SILVER_rangepct,0.013883618839562656
SP500_rangepct,0.01258048731712221
US10Y_rangepct,0.02729137954304069
US2Y_rangepct,0.1963485139235708
US30Y_rangepct,0.020096211023775557
US5Y_rangepct,0.040670690717231506
VIX_rangepct,0.09815047569582921
WTI_rangepct,0.034268203343195025
AUDUSD_ma520,0.9998867516451094
BRENT_ma520,1.0012802474922031
BRLUSD_ma520,1.001525824432687
CADUSD_ma520,1.0001693327820078
CHFUSD_ma520,0.9995090756118519
COFFEE_ma520,1.0016484812914994
COPPER_ma520,1.0013625980172516
DAX_ma520,1.001723756592832
DFF_ma520,0.9985631708438302
DGS10_ma520,0.999776589455705
DGS2_ma520,1.0028235660129525
DGS30_ma520,0.9992555239184994
DGS5_ma520,0.999626500067057
DOWJONES_ma520,1.0019584642616015
DTWEXBGS_ma520,1.000779165313638
ESTR_ma520,1.0014398104030837
EURGBP_ma520,1.0004673818183778
EUROSTOXX50_ma520,0.999835251383534
EURUSD_ma520,0.9996271271580026
GBPUSD_ma520,0.9992083990223065
GOLD_ma520,1.0022845478163878
IBEX35_ma520,0.9992315032473923
JPYUSD_ma520,1.000172760452365
MXNUSD_ma520,1.001194933553232
NASDAQ100_ma520,1.003958701290348
NATGAS_ma520,1.0004215581806613
NIKKEI225_ma520,1.0011249341575732
SILVER_ma520,1.001592336105037
SOFR_ma520,0.9778911939575632
SONIA_ma520,0.995861727077664
SP500_ma520,1.0021803507204134
US10Y_ma520,0.999290514476521
US2Y_ma520,1.009215662243382
US30Y_ma520,0.9990774463335094
US5Y_ma520,0.9998151081195218
VIX_ma520,1.002860051263624
WTI_ma520,1.0019274429215106
SPREAD_WTI_BRENT,-5.563598450175205
RATIO_WTI_BRENT,0.9311954240916421
SPREAD_US10Y_US2Y,1.3355184722470106
BRENT_EURUSD_RATIO,61.16409340211902
